zip_code,2011_MHI,2012_MHI,2013_MHI,2014_MHI,2015_MHI,2016_MHI,2017_MHI,2018_MHI,2019_MHI
63387,56250,56250,30938,32188,,30938,26607,22361,33750
63388,34531,33980,32682,33472,38462,40000,39306,37500,25234
63389,49276,50794,52659,51358,51066,55064,55750,54240,64102
63390,43212,43896,48922,51201,51732,56729,64357,62164,68936
63401,38610,39636,39600,40929,39871,42466,41867,44769,46604
63430,46146,40938,41250,62938,61250,58750,55714,36875,30774
63431,29091,28750,31667,31500,26923,30893,40966,40455,-666666666
63432,42000,41875,44097,43250,27500,40682,41607,42750,51667
63433,-666666666,-666666666,-666666666,35938,,-666666666,-666666666,-666666666,-666666666
63434,36607,43542,39375,38000,35769,41591,42750,57500,49722
63435,41039,41004,40890,42031,43641,42379,40948,41620,48289
63436,43629,51089,51563,48542,47159,47798,47708,50588,53138
63437,28750,27167,28750,33274,37031,36438,36250,38056,34940
63438,58077,60066,58523,43438,44531,56719,54205,57679,53958
63439,39375,39375,38500,38500,41364,-666666666,62813,41250,38523
63440,43036,44605,44535,43977,41000,44250,46319,48854,46442
63441,43456,42984,42546,43984,42938,43850,45167,44531,44091
63443,26618,27292,39821,51985,55341,56328,55208,51250,31964
63445,40357,41435,41711,44735,43431,43431,43878,46351,46792
63446,34864,33413,34261,35313,39241,39107,41296,39792,40521
63447,34688,38125,34010,33646,35789,35809,37917,39390,38542
63448,42206,49219,51042,52813,55212,56144,55781,50750,51212
63450,36731,38462,32500,27000,18500,-666666666,67917,-666666666,61500
63451,42292,44167,54167,44773,30625,40781,56250,58125,-666666666
63452,35357,35865,36620,41484,42760,42240,44250,46250,45402
63453,36845,37778,47917,49318,55000,60750,60179,69563,75962
63454,56250,61818,51970,43235,45852,46458,47390,49444,49909
63456,50080,50033,43284,42666,43010,42432,43168,43542,45363
63457,34323,36167,36442,64688,65000,72955,76500,75313,65208
63458,44000,39531,48500,50893,66250,38750,29732,29545,29250
63459,53514,54788,54708,52039,53449,57014,60526,63174,64146
63460,33793,33846,36667,49464,50000,52361,52898,56250,49750
63461,48162,52625,46830,50106,49063,55688,55938,54289,54818
63462,34160,34519,37500,40029,41434,40246,40606,40938,39732
63463,43750,48875,47222,46023,47500,53173,50833,56118,63194
63464,17115,17083,16250,23523,-666666666,-666666666,-666666666,-666666666,-666666666
63465,47500,41458,44500,45234,41016,45682,54250,52500,62083
63467,17308,19766,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
63468,35000,31140,33224,37500,39271,39375,39712,43512,47737
63469,41477,43173,42050,47857,47000,57772,58352,61797,50500
63471,43500,41855,41434,48194,59000,57656,56726,59511,59211
63472,27875,27500,26635,32500,33375,37500,40455,50000,31563
63473,42500,46250,42250,47083,55278,52330,65670,67841,65750
63474,40000,41518,35208,44167,44333,44563,41250,35625,38125
63501,31706,31956,33685,33731,35377,36705,37533,38152,40333
63530,34509,36161,39271,35074,40511,42063,43188,38611,46447
63531,35313,29833,27159,39107,43958,43750,57969,60000,57500
63532,40066,36850,36875,35189,37316,38427,38643,40815,43700
63533,45250,45078,43125,41776,42813,44097,46848,48654,54063
63534,47250,45625,43516,34821,35357,38750,37000,39286,42139
63535,46136,49167,11875,48681,,49500,49844,52917,-666666666
63536,30625,27102,34896,35368,40169,41250,45625,44258,47135
63537,28750,27552,30685,30513,36100,35750,37463,37400,41058
63538,32292,35250,39750,42250,48125,57917,53750,37500,36250
63539,43750,33750,43000,43438,32188,38333,45208,46875,50000
63540,33750,31250,28125,36563,41875,43375,44219,51250,47344
63541,39375,34167,38194,40179,33553,33553,32833,40417,50841
63543,23438,29583,33000,33625,38864,34583,31731,31071,34375
63544,30590,34643,38700,38578,40357,39519,37632,37833,41417
63545,32868,36761,35809,36923,37941,41800,36667,45625,41667
63546,39261,39038,41713,45850,47054,42813,46406,45893,51019
63547,41250,40438,39615,40114,37656,37443,36033,40147,34167
63548,30865,33333,32625,30938,36346,37188,35313,38450,40000
63549,33422,32936,33647,36211,36500,38167,41302,42206,45099
63551,27697,18333,15156,13125,15179,25156,20938,30521,44306
63552,39310,39948,40919,39247,38210,37058,38244,40161,42218
63555,38696,40985,39464,39672,39563,42375,43333,43800,49125
63556,36420,37581,41774,41319,42337,44342,45068,45417,47841
63557,52708,65750,63125,45357,40250,40750,41250,39659,42500
63558,42292,41500,34500,33500,39583,45179,42917,47667,47614
63559,43000,41131,40139,36818,36771,37679,40250,43542,47589
63560,31806,23846,31875,31250,34318,33333,37250,-666666666,-666666666
63561,34464,31921,37500,34732,38750,36103,33750,36250,39375
63563,32250,29808,33750,40231,40000,41389,44514,51776,43611
63565,35833,37090,38297,38135,37045,39127,40370,36894,40598
63566,45865,43750,34107,42500,38125,45714,48750,49375,57750
63567,30144,30720,14839,16125,24643,25568,27065,27059,28482
63601,32317,32349,31351,33359,34371,33995,35800,36415,39363
63620,31477,32838,33750,31367,30769,32422,34583,35293,36905
63621,41696,41375,42955,43438,34565,37841,37102,37174,40795
63622,40855,43056,36211,40729,36852,36543,36653,38188,32198
63623,31750,32344,36071,38571,36544,33864,34097,34952,35625
63624,31157,29726,29868,35000,38824,40436,40323,39745,39682
63625,50357,37321,51875,53224,52917,53182,55703,51635,54643
63626,41554,23942,20941,21611,21452,58000,57829,59474,57552
63627,49167,39846,37188,47981,48851,48816,52272,60822,68933
63628,40529,42996,40126,38181,42000,47354,48145,49568,48410
63629,33466,29464,28478,28792,28365,34583,40781,45150,47708
63630,28297,25777,29449,28790,28966,28267,29481,35378,40313
63631,52833,57321,55217,52955,46875,43571,52813,59911,61068
63633,28889,32434,26458,21908,32059,35804,35185,41875,40250
63636,25685,31000,28068,29348,40259,36534,34583,38421,39750
63637,43679,26036,18764,19796,19063,18872,-666666666,26220,33629
63638,35192,30985,31207,27679,31765,35313,37692,39620,40197
63640,45587,44775,45749,44477,44587,44306,47557,53088,51660
63645,35184,35667,35180,36620,34844,36510,38705,42370,44566
63648,33125,33833,37262,43409,46615,46705,49375,61250,51719
63650,37802,33333,40554,39417,37594,37325,37059,39083,36554
63653,31964,27125,30313,25573,29313,30707,31250,32375,36940
63654,50278,43625,55221,55536,55469,55769,58043,62188,60341
63655,36815,37386,36406,37778,37950,39074,34967,40379,43813
63656,32115,31818,32955,43750,41667,47768,50292,53419,75833
63660,34926,30960,30553,31283,30515,35556,34688,36818,41068
63662,37188,39097,44659,39643,39917,38720,39186,42422,40964
63663,22422,30250,28966,30938,31667,28947,28807,31538,33393
63664,29778,33268,34681,33612,34615,35846,37366,40087,41643
63665,42500,42955,48750,47292,42500,48750,49583,31971,50417
63666,18125,18906,35625,37308,47917,35568,-666666666,-666666666,22917
63670,46125,46215,47304,44846,46000,49177,49794,55405,57734
63673,48096,50250,50214,46920,46000,44784,47891,47803,52656
63674,37019,37438,39628,27011,,-666666666,-666666666,-666666666,-666666666
63675,45345,46000,52625,48393,44286,30673,30714,31654,31492
63701,47292,46964,47890,46907,47586,50501,50848,53745,54823
63703,29905,28658,26552,23079,23995,25100,24815,28721,29476
63730,33098,35054,39583,44000,45125,46676,48438,45893,41579
63732,54219,61667,58654,57578,55172,56087,59813,59457,60625
63735,32708,38036,36518,33125,33583,34353,33750,38750,41250
63736,50368,52818,48654,42969,41576,44886,46042,47228,49464
63738,-666666666,25500,-666666666,37857,37969,37900,-666666666,-666666666,-666666666
63739,44688,49125,42917,43750,43750,47917,50893,54219,53750
63740,36358,35463,38380,35473,37417,40869,48125,46574,49464
63742,35625,51250,41250,36250,,41250,43250,-666666666,-666666666
63743,69000,74583,86500,87750,,56750,-666666666,-666666666,-666666666
63744,22353,38036,37639,39464,38393,38750,40556,44286,-666666666
63745,38542,42143,40469,33438,34500,33250,35000,37500,-666666666
63746,-666666666,-666666666,59000,61250,61250,-666666666,64559,63958,-666666666
63747,51000,56667,54107,54861,51875,54479,60250,61724,64653
63748,57500,60326,63636,67000,61563,60313,60250,53819,55357
63750,25417,23750,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
63751,29227,32143,31250,35875,29559,33173,40978,39352,42713
63755,52860,52885,52144,52951,54005,55726,58364,59861,65086
63758,43558,48594,68750,51071,48438,50147,50114,44219,42054
63760,50882,50192,49954,55938,57679,55938,57083,62868,62946
63763,43092,29896,27000,45461,,-666666666,-666666666,-666666666,50179
63764,32601,31165,31082,31020,35108,34267,37938,39286,41627
63766,44345,42218,44191,43021,41543,41167,42500,48088,54957
63767,40761,42212,45662,48750,45714,36591,33333,35938,34875
63769,43107,39821,42917,45250,61083,51800,56250,57500,55278
63770,38750,49375,48750,48125,,70250,65000,36667,48750
63771,37460,42422,44196,45653,42955,42000,45288,44714,47045
63774,41548,40982,26250,21719,25750,-666666666,35500,37250,37000
63775,42052,43609,45046,48150,50264,52505,54123,54740,55438
63780,42039,39303,39281,37851,39949,41190,44366,47708,47198
63781,46895,48021,47545,41875,56250,60729,61250,66570,68553
63782,36146,33929,31953,35000,39063,25875,32727,33224,30208
63783,56500,74125,89167,120469,88625,87500,90682,93409,82000
63784,28750,24063,31786,25000,35938,26071,40417,36250,-666666666
63785,51667,56771,49545,47981,45104,42188,43750,45833,46563
63787,31818,29554,32778,23500,29000,29500,34773,47167,49583
63801,37277,37884,39853,39199,38632,39905,40634,40946,42330
63820,25500,27969,27500,23036,22102,32750,29375,23125,27188
63821,32443,30592,29010,29559,19844,18661,19250,19554,19115
63822,45364,39500,39779,39947,37031,37566,38958,38836,39505
63823,25980,26192,31302,32361,32400,33967,35260,36221,43906
63824,31250,46875,34219,33558,33611,30000,26250,25000,-666666666
63825,34135,38080,40085,40887,41663,40500,41123,40779,40703
63826,58000,48750,49167,27083,25833,22000,14688,-666666666,-666666666
63827,40000,38182,39107,42455,42109,44943,46587,44000,42500
63828,24688,28750,30341,32083,37083,31667,31125,39167,36429
63829,27574,28011,28750,29250,31316,30476,32500,35655,36343
63830,32043,31950,29272,31359,26832,29271,30068,30979,32461
63833,24000,15938,14701,14455,30357,30769,33750,-666666666,58750
63834,26879,28406,29401,29097,28960,28084,32127,33457,36449
63837,26842,26136,26528,28622,27656,27984,29960,29970,36923
63839,38462,39531,41167,42024,41776,41979,41316,41618,41111
63841,36374,39394,37442,38531,36528,36513,39678,40734,40881
63845,33306,32703,31098,26660,27083,30173,31583,32614,35037
63846,39643,41078,40250,37656,38458,38080,35035,36420,42039
63847,-666666666,-666666666,-666666666,-666666666,23289,23026,23036,23913,24583
63848,33750,29444,30385,30685,30795,29167,34000,33505,43519
63849,36618,36012,39219,42500,,30417,38750,37083,36406
63851,18824,20521,21923,24561,23716,24980,24574,27090,27041
63852,35750,33717,35156,35952,33438,30909,31000,33393,28516
63853,24722,36750,28125,21250,29097,29444,29453,28958,30875
63855,39375,40521,41447,39583,40000,44783,51250,42750,45250
63857,33506,31633,33404,33581,32368,31608,33378,36831,40205
63860,40577,37045,37500,35950,,17328,23125,16354,26691
63862,25385,23630,22123,23983,22463,23571,25500,27564,31027
63863,29564,30116,30620,29925,29010,30497,31565,32484,35357
63866,34583,29931,26500,38333,26793,26719,25208,22422,24643
63867,39836,40379,41875,39706,40536,35461,34922,32396,34500
63868,22727,28250,30093,26125,23382,23494,26518,26957,27000
63869,34655,36429,34293,36523,40272,32440,36595,38990,38772
63870,25147,26712,31078,29911,27950,27083,24706,26016,29167
63873,34240,35909,41188,35966,33412,33994,34936,36806,38377
63874,46875,54688,58125,50500,39500,40833,40455,41250,43125
63876,26732,26571,25409,25642,26552,27218,29107,39094,39875
63877,39628,40217,31815,34457,33750,38092,38102,39375,35952
63878,28750,31250,35500,36000,36250,29583,31875,41250,44250
63879,32143,35134,34318,31563,31705,31563,32857,35625,41618
63880,56250,38906,38929,-666666666,-666666666,19191,19145,-666666666,19524
63882,25357,26875,24722,29318,27500,33750,36875,40625,33125
63901,35076,35187,35678,36098,35852,35959,37052,37622,38825
63902,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
63932,20861,26321,33929,44583,40809,42768,34375,35380,31875
63933,27901,28940,30000,32664,32690,32437,31683,33450,32461
63934,31522,45391,-666666666,-666666666,-666666666,-666666666,-666666666,60809,60625
63935,28385,30960,31208,31446,32221,32123,32536,36010,34362
63936,35000,40060,40250,37750,33125,42438,40208,40739,52667
63937,32768,30821,32083,34866,32007,33438,35285,35022,41900
63939,30218,30099,30833,30469,27351,34808,30192,26278,29427
63940,35208,30952,40854,43580,42344,49167,51290,51042,51328
63941,28264,27167,50603,50875,36217,36097,35641,37604,37951
63942,42981,39036,39440,38008,38011,50833,41875,32500,38125
63943,24022,24643,21953,24773,25529,27417,28550,36250,38793
63944,26719,26917,29808,29565,38657,33750,28095,29964,30809
63945,40530,27250,24250,26607,35000,68500,44738,45699,45718
63951,40952,41667,47768,48167,,-666666666,-666666666,11500,11923
63952,25547,26136,27250,29940,33409,34514,36638,-666666666,36250
63953,35813,35978,39565,42188,36667,36895,34957,30660,32096
63954,26550,26316,26468,26583,25313,25179,26905,29231,22500
63955,18542,19531,19402,19808,19792,-666666666,35060,28125,29205
63956,30720,37898,32286,32266,39375,39398,41217,52632,43650
63957,29266,31902,32177,31905,30357,32019,30882,31738,31231
63960,31250,35285,37756,40707,41418,41799,43211,46086,43929
63961,27607,27442,26822,30536,33287,35625,45568,49000,45833
63962,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
63964,25667,27708,34770,33451,24861,23803,24130,23611,23036
63965,27368,31645,35372,38306,41592,44833,48082,44873,41326
63966,29682,27572,33776,31676,35787,34013,39600,40595,42875
63967,38182,36250,38041,36050,38333,39301,42792,39931,43711
64001,54375,49732,59583,60673,52344,49583,57188,49583,49063
64011,70253,64838,68500,63201,65459,59871,53839,61652,67036
64012,52429,53173,53803,56752,57982,61168,63307,64489,64381
64014,66493,66337,68665,67335,67775,68624,71503,73517,77755
64015,68461,67408,64344,60694,59615,63163,66222,69549,72834
64016,63268,61282,57981,57184,55551,55319,57192,66771,59606
64017,63654,63750,66389,61250,51250,49375,71250,82656,62917
64018,61500,55703,61786,63750,82841,86513,85658,93750,91875
64019,45968,47443,47928,51681,58188,63178,63611,68819,67790
64020,58235,60127,55109,57138,56250,58105,60958,60069,63306
64021,40268,40804,43750,48958,50500,47167,46731,45769,49423
64022,41458,41875,42083,58750,48125,45417,45000,45938,36250
64024,50705,50054,51679,52505,52007,51786,55441,55805,60120
64029,66721,68168,66773,66974,67585,68324,70814,75288,78320
64030,43896,42135,43121,41628,41347,42747,44631,44971,46902
64034,80015,83233,77500,80294,80901,85500,95162,100076,103947
64035,56635,52155,54605,53869,55714,56579,60089,55417,60000
64036,26696,32500,28984,28382,26875,35000,31667,41250,49063
64037,43045,43538,45062,49113,50203,51745,54190,55191,55726
64040,46929,49194,49755,50580,47389,53068,51969,53555,53904
64048,72373,74741,74720,74677,79063,79638,72353,73640,78571
64050,34624,35428,33776,33519,33144,34165,35393,37407,38872
64052,37517,36266,35954,36675,37167,40179,41777,43965,44451
64053,33243,35408,35115,31444,30020,24913,30484,30724,38209
64054,33883,32629,32470,36017,33244,34542,37608,40867,39389
64055,49386,51388,51375,51056,49091,48043,49344,50852,56063
64056,50388,53526,53093,53806,50164,51330,55203,57813,62225
64057,61783,60217,58500,54832,55549,57355,59418,61509,63237
64058,62857,61563,61356,62062,62229,61100,61277,63735,65842
64060,80907,82209,81670,81743,80908,80557,81204,83152,85402
64061,56532,48000,52188,61367,69700,64706,65063,68132,68094
64062,66905,65556,64111,65081,59792,62000,65924,69323,66977
64063,58364,62605,63065,65305,63855,65222,65542,63896,68003
64064,85028,82654,81950,86046,83250,87991,92060,99525,103970
64065,121250,123750,31250,40000,41250,41250,48125,47500,51250
64066,25625,2499,51875,62500,,140625,-666666666,83125,83750
64067,48750,48287,47479,45635,42739,40729,43243,49506,57817
64068,65088,65781,66225,65962,65401,67316,69996,71598,76159
64070,74432,71494,73291,75400,73580,74734,79653,77656,75313
64071,56397,55250,46964,45258,45122,44783,48313,64375,56154
64072,41429,40795,36667,34583,37083,45721,45577,48000,48255
64074,55469,57679,60000,57143,54688,56875,61750,64643,67019
64075,53640,55000,55746,58824,57308,59259,62824,68431,74032
64076,51629,57500,50616,54421,53333,51076,51916,53942,58967
64077,50660,50652,52235,54375,58667,65718,68784,67837,67656
64078,72301,71439,69360,70571,71055,65750,63826,66824,69155
64079,78415,80028,81778,80770,81820,81616,85022,86053,86756
64080,63994,59579,57870,60152,61116,67191,70546,75645,77467
64081,74723,77279,76684,76431,78441,81843,83140,85077,88892
64082,97790,99256,104975,103372,104608,108082,111855,113174,120288
64083,73114,73048,72221,72566,73908,75843,78337,79126,83027
64084,53594,52064,60647,63839,62629,57019,68036,57300,57901
64085,45655,46297,47038,41709,46279,47670,46944,48790,56439
64086,79103,78125,78203,77230,75316,76691,81941,85259,86949
64088,64375,68750,57614,67875,65833,65927,65655,61420,62168
64089,68615,73750,72423,78244,76591,77254,78000,81909,85323
64090,37500,34375,37500,42500,44688,52500,40417,41875,42969
64092,51480,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
64093,46271,44526,43894,47507,45282,43440,47338,50327,52609
64096,43409,38804,35238,35563,36016,38100,43472,49875,51522
64097,49479,51176,46250,48375,47973,43864,49219,51667,58646
64098,68026,70792,73142,72717,73421,75648,66406,66591,71250
64101,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
64102,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666
64105,38208,37592,41928,42432,47481,51145,58100,59474,58966
64106,25136,24003,25649,26264,25655,28449,30595,31140,33770
64108,38530,37124,35521,36392,40127,41912,44206,49500,51406
64109,17186,20160,19149,21839,23098,24710,28750,32131,32218
64110,36972,38912,40066,39866,38503,39077,40828,42550,44078
64111,36445,39107,37695,39333,40458,42758,45026,48105,51413
64112,50620,53010,54679,59717,65158,68981,71743,74864,75017
64113,117431,119676,113536,126351,125995,122237,124462,136913,138220
64114,53006,54175,54532,55124,55796,57217,60769,63694,65833
64116,46998,46428,42940,42595,42795,43704,44905,49352,51801
64117,43983,41690,42742,43458,44176,44742,46814,46514,45572
64118,48624,48924,49994,49030,50919,51314,52940,55690,57392
64119,60809,59449,60787,62478,62401,63817,66776,68841,68553
64120,47955,48523,57674,52266,30938,26000,28864,34417,38056
64123,30179,30211,30383,29242,31021,32467,34947,35290,36915
64124,26116,25740,26288,24467,24229,24716,26043,26512,31279
64125,30000,23889,23462,21864,17344,21075,23355,22328,28269
64126,23800,24665,25009,20675,22218,21563,20373,20699,26388
64127,22248,21487,21494,21432,20892,21875,22989,25472,27013
64128,23297,23469,23805,23134,25339,24449,25614,24421,26535
64129,32893,32342,32377,32493,33102,35540,36347,39396,41078
64130,26624,27678,28493,28763,27625,27525,29710,31166,32367
64131,41810,41803,40128,42838,41868,41742,45433,45688,45186
64132,25687,25858,26536,26018,26897,29714,32716,36074,37772
64133,49802,50583,48407,47433,46953,46974,48309,50681,52291
64134,40272,40529,38913,41032,40460,41547,41296,41543,42906
64136,28300,29111,31008,43803,40781,45654,46493,36538,35302
64137,51938,51192,50315,46375,46745,42990,43173,47324,54460
64138,46766,47141,45904,47043,45029,45151,46705,46915,46104
64139,92125,91875,82829,77083,76800,90435,105063,113553,112846
64145,70705,62702,62054,56795,56723,60489,70597,71611,76190
64146,42991,42963,40993,53633,54668,62938,57450,60667,65136
64147,11944,4926,14659,7898,,7895,7394,7622,7784
64149,72000,52426,54792,68036,54583,78438,117500,116719,118906
64150,41923,37019,39390,41500,33024,30089,34282,34489,34441
64151,62002,61983,63957,64059,64404,66677,70268,71190,72957
64152,79291,79174,79368,78710,77513,81716,84967,88919,94284
64153,62750,63038,58845,61295,61073,66389,75699,77874,83039
64154,52926,53677,53586,58591,62509,64134,66952,73458,83375
64155,76497,74754,72990,74230,75328,75939,79787,84614,85275
64156,79349,68996,69643,81713,91863,100393,108333,111000,113654
64157,96671,99027,100873,102180,103200,103913,106587,112481,112159
64158,91308,87500,73125,66944,66548,67171,72667,82739,85837
64161,53000,57500,63281,63750,66023,63750,75625,67250,68333
64163,41641,40982,40125,36563,43417,44038,43250,56250,46111
64164,41833,41339,31406,32266,,-666666666,-666666666,-666666666,-666666666
